OBS,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
OUT99011601,-33.91666667,22.50933333,7.26,30.83,348.05,0.08,0.43,2.07
OUT99011602,-33.92466667,22.516,7.26,30.83,348.05,0.08,0.43,2.07
OUT99021303,-33.86266667,22.30166667,7.26,30.83,348.05,0.08,0.43,2.07
OUT99070304,-33.82433333,22.9065,6.64,31.46,369.14,0.1,0.43,1.43
OUT99070306,-33.82166667,22.9,6.64,31.46,369.14,0.1,0.43,1.43
OUT99070308,-33.81666667,22.91016667,6.64,31.46,369.14,0.1,0.43,1.43
OUT99070310,-33.81816667,22.90616667,6.64,31.46,369.14,0.1,0.43,1.43
WIJ99082102,-34.11583333,18.43833333,6.06,33.55,506.25,0.19,0.45,3.49
OUT99061205,-33.84683333,21.95483333,4.23,35.73,305.86,0.03,0.41,4.22
OUTY0092203,-33.83016667,22.64816667,7.26,30.83,348.05,0.08,0.43,2.07
OUTY0092204,-33.8355,22.64616667,7.26,30.83,348.05,0.08,0.43,2.07
JAT92081302,-34.38166667,19.33666667,6.87,29.51,363.87,0.14,0.41,3.67
PVR92122602,-33.9685,18.428,11.12,25.9,374.41,0.22,0.34,3.64
PVR92122603,-33.97516667,18.42183333,11.12,25.9,374.41,0.22,0.34,3.64
AJT93010901,-34.31216667,18.99616667,10.17,24.48,474.61,0.22,0.42,3.61
AJT93010904,-34.313,19.01666667,10.17,24.48,474.61,0.22,0.42,3.61
MHG93010503,-33.92516667,23.721,8.42,29.69,390.23,0.17,0.44,2.8
AJT93032706,-34.05583333,18.3865,11.12,25.9,374.41,0.22,0.34,3.64
APE93040303,-33.8725,22.40833333,7.26,30.83,348.05,0.08,0.43,2.07
JAT93071403,-33.97883333,23.63816667,8.42,29.69,390.23,0.17,0.44,2.8
AKS93090103,-34.07483333,18.38766667,11.12,25.9,374.41,0.22,0.34,3.64
AKS93090104,-34.07066667,18.38283333,11.12,25.9,374.41,0.22,0.34,3.64
AKS93091604,-33.918,23.76016667,8.42,29.69,390.23,0.17,0.44,2.8
PVR93101604,-33.96366667,20.72366667,2.62,36.51,290.04,0.03,0.41,4.58
WIJ93102603,-33.99333333,20.50666667,2.62,36.51,290.04,0.03,0.41,4.58
WIJ93102608,-33.975,20.48,2.62,36.51,290.04,0.03,0.41,4.58
WIJ93102904,-33.95833333,20.33833333,2.62,36.51,290.04,0.03,0.41,4.58
WIJ93102907,-33.97166667,20.34833333,2.62,36.51,290.04,0.03,0.41,4.58
AJT94042012,-34.28916667,18.92066667,10.17,24.48,474.61,0.22,0.42,3.61
WIJ94041603,-33.98833333,20.59,2.62,36.51,290.04,0.03,0.41,4.58
ASP94102930,-34.20366667,18.90483333,6.06,33.55,506.25,0.19,0.45,3.49
AGR94112015,-34.34916667,18.92883333,10.17,24.48,474.61,0.22,0.42,3.61
JID94121701,-33.99233333,18.41566667,11.12,25.9,374.41,0.22,0.34,3.64
ASP94120310,-34.195,19.5055,1.57,36.73,458.79,0.16,0.45,3.73
PVR95022303,-34.06033333,18.3835,11.12,25.9,374.41,0.22,0.34,3.64
JID95032003,-34.385,19.27166667,6.87,29.51,363.87,0.14,0.41,3.67
GEH94121005,-33.1805,19.118,-1.39,35.69,564.26,0.2,0.49,3.73
JID95082802,-34.09416667,18.43283333,11.12,25.9,374.41,0.22,0.34,3.64
OUT95100701,-33.8445,23.19133333,6.64,31.46,369.14,0.1,0.43,1.43
OUT95100710,-33.84683333,23.186,6.64,31.46,369.14,0.1,0.43,1.43
FBH95102602,-34.30183333,19.01283333,10.17,24.48,474.61,0.22,0.42,3.61
OUT95111808,-33.952,21.11883333,2.65,37.4,326.95,0.03,0.41,4.69
OUT95111815,-33.94233333,21.1435,2.65,37.4,326.95,0.03,0.41,4.69
