,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
83,-33.869,22.25583333,7.26,30.83,348.05,0.08,0.43,2.07
84,-33.98966667,20.42466667,2.62,36.51,290.04,0.03,0.41,4.58
85,-33.86516667,22.307,7.26,30.83,348.05,0.08,0.43,2.07
86,-34.09016667,19.83833333,1.82,38.84,427.15,0.1,0.43,4.03
87,-33.87916667,21.939,4.23,35.73,305.86,0.03,0.41,4.22
88,-34.0365,19.3775,1.57,36.73,458.79,0.16,0.45,3.73
89,-33.875,22.29666667,7.26,30.83,348.05,0.08,0.43,2.07
90,-33.972,21.4805,2.65,37.4,326.95,0.03,0.41,4.69
91,-33.88483333,21.98666667,4.23,35.73,305.86,0.03,0.41,4.22
92,-33.8835,21.9835,4.23,35.73,305.86,0.03,0.41,4.22
93,-33.87833333,22.405,7.26,30.83,348.05,0.08,0.43,2.07
94,-33.88333333,22.00083333,4.23,35.73,305.86,0.03,0.41,4.22
95,-33.94233333,20.73333333,2.62,36.51,290.04,0.03,0.41,4.58
96,-33.92316667,22.06133333,4.23,35.73,305.86,0.03,0.41,4.22
97,-33.9725,21.33166667,2.65,37.4,326.95,0.03,0.41,4.69
98,-33.97166667,21.29866667,2.65,37.4,326.95,0.03,0.41,4.69
99,-33.96916667,21.31,2.65,37.4,326.95,0.03,0.41,4.69
100,-33.736,19.86,-1.1,36.98,622.27,0.15,0.55,3.74
101,-33.8685,22.0855,4.23,35.73,305.86,0.03,0.41,4.22
102,-33.91916667,20.86233333,2.62,36.51,290.04,0.03,0.41,4.58
103,-33.86183333,22.1795,4.23,35.73,305.86,0.03,0.41,4.22
104,-33.94633333,20.743,2.62,36.51,290.04,0.03,0.41,4.58
105,-33.978,20.85,2.62,36.51,290.04,0.03,0.41,4.58
106,-33.73616667,19.8545,-1.1,36.98,622.27,0.15,0.55,3.74
107,-33.97066667,21.47883333,2.65,37.4,326.95,0.03,0.41,4.69
108,-33.90966667,22.11383333,4.23,35.73,305.86,0.03,0.41,4.22
109,-33.96566667,21.28633333,2.65,37.4,326.95,0.03,0.41,4.69
110,-33.75583333,20.0115,1.82,38.84,427.15,0.1,0.43,4.03
111,-33.87433333,21.934,4.23,35.73,305.86,0.03,0.41,4.22
