OBS,Latitude,Longitude
AWA99021802,33.8895,22.4425
NAHY0041503,33.94633333,21.10966667
OUTY0012203,33.95466667,21.189
AWA98042402,33.87033333,22.267
LYMY0060208,34.03516667,19.37366667
AGR92110120,34.016,19.65933333
DFJ99080803,33.92,20.86133333
APE95111201,33.87716667,22.311
PNR98092504,33.93966667,20.90116667
DOA92111405,33.88283333,21.94616667
DOA92111502,33.863,21.96183333
DOA93082202,33.923,20.8565
AWA99072406,33.95683333,21.19533333
ROO95111201,33.87383333,22.31166667
AWA99072404,33.95466667,21.1855
DOA93082204,33.92616667,20.85483333
LYM98092603,33.90166667,20.90166667
DOA94090512,33.94566667,20.38916667
AWA97111103,33.91066667,21.78466667
LYM96110201,33.71216667,19.88483333
WIJ94021903,33.95666667,19.29833333
PMRY2042001,33.73566667,19.9865
AGRY2042015,33.732,19.97533333
AGRY2042016,33.732,19.98066667
AGRY2042023,33.74233333,19.99516667
VJK95031005,33.94166667,20.6935
DOA92120203,33.92616667,22.01833333
AGRY2042009,33.741,19.98433333
DOA92110701,33.88416667,22.428
AGR94110817,33.97366667,21.23516667
VJK97030206,33.94316667,20.7365
AWA99030106,33.88066667,22.429
NAH99050807,33.964,21.6275
SHS94062206,33.9085,21.9575
AWA99050807,33.93083333,21.83783333
SHS95022106,33.86133333,21.97316667
SHS95022105,33.86583333,21.957
NAHY0041502,33.94733333,21.1065
SHS93072902,33.84466667,21.98233333
DFJ99011201,33.87583333,22.38833333
AVZ93112502,33.94783333,20.407
CRU95012002,33.96733333,20.85
BLR99050701,34.06583333,20.015
OUTY0070801,33.87316667,22.0325
OUT95101408,33.9515,21.15866667
OUT93103002,33.95583333,21.21333333
OUT96030204,33.86116667,21.965
RCS99011302,33.96966667,21.30266667
OUT93060501,33.8865,22.4565
GNIY0120405,33.95566667,21.22183333
OUT99060509,33.9575,21.22966667
KLW94111802,33.8835,22.00233333
GCS99060809,33.90983333,20.84616667
GCS99060812,33.92483333,20.8565
GNIY0120406,33.95716667,21.216
GNIY0120407,33.95616667,21.213
WMP95123003,33.95583333,21.21183333
OUT97032201,33.87566667,22.0395
DEO99091405,33.968,21.3015
OUT97111508,33.97083333,21.30083333
OUT98012307,33.96916667,21.3025
OUT93070405,33.906,22.08166667
OUT93091801,33.8875,22.0025
OUT95081916,33.83366667,21.89566667
WMS92093001,34.004,19.574
OUT93071006,33.86716667,22.307
ACU96101602,34.07583333,19.77833333
AGRY3100114,33.836,21.88816667
PMRY2042002,33.73866667,19.986
NAH96022501,34.06833333,19.73
PVR96041604,33.86083333,22.03416667
WIJ98051706,33.94916667,21.125
LKA99103004,34.0175,19.6125
APE92091503,33.859,20.171
AWA97111102,33.90983333,21.788
AMMY3103121,33.94016667,20.26916667
AGR96030301,34.0085,20.98066667
PMR98051704,33.94833333,21.13333333
FMD99080801,33.91916667,20.86116667
AGRY3103131,33.97116667,20.35966667
APE92091607,33.75133333,20.0425
APE92091608,33.76083333,20.05866667
AWA98111705,33.88266667,22.44883333
SHS93021601,33.92516667,22.01283333
CRU95062702,33.93566667,20.90216667
SHS93081702,33.8775,21.95916667
SHS93091001,33.92466667,22.02566667
VJK98092501,33.9275,20.8565
AGR92110128,34.019,19.63933333
AWA99050802,33.9405,21.83983333
NAH99050904,33.92166667,21.87316667
NAH99051103,33.91033333,21.815
AMMY3103112,33.95833333,20.301
OUT95042907,33.87616667,22.2995
ACU99060801,33.91783333,20.8585
AVZ93112503,33.94783333,20.37083333
JAT93091202,33.98416667,20.38166667
CSS97123107,33.931,20.86983333
AMMY1020206,33.878,20.20533333
WMS94082501,34.05733333,19.73533333
WMS94091402,34.07183333,19.77
AWA99072405,33.95566667,21.18983333
AGRY0082609,33.73566667,19.85833333
DOA94090701,33.984,20.38016667
AWA99021804,33.883,22.44
FMD99080802,33.92233333,20.85633333
AWA99060501,33.87516667,22.43
AGRY3103132,33.97383333,20.3635
SHS93090902,33.85533333,22.078
LKAY0111704,33.955,21.164
WMP99010206,33.94733333,21.1365
DOA92111403,33.88566667,21.9865
SHR97110102,34.087,19.97066667
WMP99010205,33.94733333,21.14083333
AWA99061601,33.9415,21.73383333
SHS93071201,33.86666667,21.9635
OUT94012202,33.88833333,21.98333333
OUT94040607,33.90516667,22.05533333
KLW94112001,33.865,21.95833333
SHS97021101,33.91266667,21.95
GCS99060813,33.928,20.85383333
AWA94112502,33.87283333,22.31
SHS97020508,33.8955,21.872
OUT97062101,33.86133333,22.2955
AWA94050502,33.87766667,22.2975
DOA95100910,33.87033333,22.31133333
ACU99060802,33.92033333,20.84833333
NGW98120911,33.935,20.90416667
DOA94090519,33.94916667,20.35533333
OUT95041404,33.96933333,21.3015
GCS99011302,33.96983333,21.30433333
VJK96041303,33.97383333,20.3115
VJK96041304,33.97516667,20.314
DFJ99012502,33.88,22.43166667
OUT98092509,33.93516667,20.9025
DFJ99080801,33.92633333,20.85583333
SHR94011803,33.9275,20.85583333
WEL94030508,33.9275,20.85483333
AGR92110127,34.019,19.64266667
WIJ93051602,34.01083333,19.61333333
JBB98041301,33.92316667,20.85483333
AWA98111707,33.88016667,22.44216667
AWA99102804,33.88233333,22.44516667
NAH95050203,33.95616667,21.21383333
VJK97081605,33.99733333,20.458
OUT97032801,33.88133333,22.40083333
SHS93122105,33.8815,22.4365
DOA94090202,33.99816667,20.44133333
VJK98101701,33.996,20.45583333
DEO99091406,33.96833333,21.30916667
OUT95041403,33.96633333,21.279
OUT95042909,33.87566667,22.30783333
WIJ97030914,33.925,20.85666667
VCH99090802,33.8725,22.31133333
AGR99090804,33.86216667,22.29783333
AWA95031604,34.00516667,19.69716667
VCH98092602,33.94466667,20.849
NGF98040301,33.87383333,22.29416667
AWA99060502,33.87683333,22.433
AMMY3103113,33.95683333,20.297
AMMY3103119,33.9415,20.279
DOA94090514,33.94733333,20.38033333
OUT96110905,33.95133333,21.1225
OUT95111803,33.948,21.13766667
SAS98092602,33.90366667,20.85583333
AMMY3103118,33.94416667,20.28366667
AWA95031502,34.01066667,19.69916667
AGRY2042012,33.73566667,19.97366667
AGRY2042022,33.73966667,19.99783333
OUT95111807,33.95133333,21.1225
SHS93052701,33.8915,22.0215
PVR96041606,33.87633333,22.031
AGRY1013007,33.93866667,21.64216667
AGRY1013008,33.941,21.63666667
WIJ98110101,33.975,21.29833333
APE92091502,33.86983333,20.1785
SHR98092403,33.937,21.05266667
AMMY3103023,33.91266667,21.95
AGRY3103134,33.97883333,20.358
SLA98052402,33.87083333,22.29333333
IVM98102910,33.8725,22.31183333
WIJ99103004,34.01166667,19.6125
AGRY0101403,33.97083333,21.301
WIJ94022505,33.73666667,19.90333333
WIJ98051708,33.9475,21.1375
AMMY0101401,33.96933333,21.3075
AMMY3103120,33.941,20.27366667
SHR95092403,33.85316667,21.97583333
NAH97022804,33.73066667,19.89833333
SHS94043002,33.86166667,22.25383333
NGW98082004,34.00783333,21.39083333
DOA94090518,33.94816667,20.35916667
AGRY2042024,33.74466667,19.99083333
OUT96110904,33.9495,21.1275
OUT94012203,33.88833333,21.98166667
WIJ94022502,33.73333333,19.89916667
WIJ94022504,33.7325,19.90666667
PVR96041607,33.88516667,22.02233333
VCH98092501,33.8955,20.8635
VCH99090805,33.877,22.3075
OUT96110903,33.94833333,21.13383333
VJK98110104,33.93416667,21.04833333
WIJ98051611,33.955,21.16833333
AWA99102805,33.88133333,22.44083333
AWA99082603,33.87733333,22.44283333
AGR92110122,34.016,19.65433333
SHR98112901,33.7315,19.89833333
AGRY3103135,33.981,20.357
WIJ93102809,33.94583333,20.385
OUT95111802,33.948,21.13983333
PMR98051605,33.94833333,21.15166667
OUT96110902,33.94816667,21.14033333
WIJ94022503,33.73,19.90333333
WIJ98051603,33.95666667,21.215
WIJ97030902,33.93583333,20.90333333
WIJ97030912,33.92,20.86333333
AWA99050801,33.9435,21.84283333
NGF98040504,33.84766667,21.98016667
WIJ98103106,33.96916667,21.305
AMMY0090709,34.07183333,19.78816667
GEKY0101401,33.96766667,21.30266667
NGF96110203,33.7185,19.87783333
SMR98092501,33.9275,20.86016667
AGR92110123,34.01666667,19.65033333
SHR98112902,33.735,19.906
VJK98110103,33.93466667,21.0505
ACU96101601,34.08633333,19.82916667
VCH99090806,33.87533333,22.30383333
NGFY1010704,33.95583333,21.20983333
SMRY1032202,34.07833333,19.82516667
WIJ93103005,33.99,20.43333333
SAS98040504,33.845,21.98166667
WIJ93102811,33.94583333,20.36666667
JAT93091101,33.946,20.3865
WIJ98051612,33.95416667,21.16333333
WIJ98051608,33.955,21.18833333
WIJ98051709,33.9475,21.14166667
DOA94090516,33.94866667,20.36983333
AGRY3103119,33.94766667,20.36716667
AGRY3103120,33.95,20.37116667
HCE96050505,34.0085,19.57583333
WIJ93103001,33.985,20.38
OUT94012206,33.87633333,21.95416667
JID99061608,34.07033333,19.729
PVR96041605,33.86583333,22.03016667
WIJ97030915,33.92916667,20.86
WIJ93102810,33.94666667,20.3725
OUT95111801,33.94683333,21.14133333
OUT96110901,33.947,21.14083333
NGF98040503,33.86133333,21.966
DJL98040302,33.87483333,22.28283333
DOAY1032202,34.08333333,19.82683333
AGRY2081302,33.90266667,22.0205
AGRY2081301,33.87466667,22.03166667
AWA98111706,33.88216667,22.44516667
NGF97091902,33.88366667,22.4
AWA99072403,33.95516667,21.18083333
WMS94081801,34.0595,19.787
VJK98101702,33.99416667,20.45533333
VJK99112001,33.99816667,20.46183333
AGRY3103116,33.94866667,20.35133333
AGRY3103117,33.94916667,20.35583333
AGRY3103118,33.94766667,20.36133333
AGR92110125,34.016,19.647
AGR94110819,33.97033333,21.23633333
WIJ98103002,33.95666667,21.21
WIJ98103109,33.97166667,21.3025
CSS97123109,33.92383333,20.85483333
AWA98062308,33.90633333,22.02366667
LKAY0111702,33.94816667,21.14783333
VJK98110102,33.93566667,21.05383333
IVM98022401,34.019,19.59833333
AGRY1032202,34.08733333,19.82683333
NGFY1010703,33.95633333,21.21583333
ASP93012018,34.01133333,19.59966667
JAT93090902,33.97833333,20.49083333
WIJ98051506,33.96333333,21.25333333
GEKY0101406,33.9555,21.2775
AGR96030304,34.00583333,20.99316667
WMP99010208,33.94966667,21.13066667
OGM94011201,33.87333333,22.033
WMP98092601,33.91533333,20.86566667
DOA99030301,34.027,19.50766667
WIJ94022403,33.73833333,19.88333333
AWA98111703,33.8835,22.45683333
AWA99102801,33.88433333,22.457
WIJ97030911,33.91666667,20.865
WIJ97030917,33.93166667,20.84666667
AWA97032406,33.96266667,21.24933333
AWA99082602,33.87766667,22.44833333
GCS99060805,33.90316667,20.85183333
AWA99021803,33.88733333,22.43983333
NGW98093008,33.95,20.76666667
SMRY0072603,34.0315,19.4075
AWA99061605,33.946,21.7365
AGR98092513,33.93,20.86133333
WEL94030507,33.931,20.84466667
WMPY1032202,34.07033333,19.82683333
WEL95030405,33.97516667,20.48333333
SMRY1032201,34.07933333,19.819
PHS98092603,33.94316667,20.93066667
AWA99032602,33.85333333,22.25
OUTY0060403,33.9625,21.2655
OUT93103001,33.955,21.22333333
GEKY0101402,33.96616667,21.2855
WIJ93103003,33.98833333,20.41333333
DOA93082203,33.92516667,20.8565
APE93040307,33.88,22.4175
VCH98040401,33.87516667,22.20866667
WIJ93102607,33.975,20.48666667
AWA98103108,33.9065,21.94416667
AGRY1030706,33.996,21.26933333
VJK96041302,33.97633333,20.31116667
HCE96050404,33.99233333,19.5275
JBB98041404,33.94233333,20.721
BMJ98092504,33.93066667,20.89833333
BMJ98092603,33.90166667,20.89533333
GEKY0101307,33.93283333,21.76083333
FWV94011601,34.01566667,19.615
AGR96030303,34.00583333,20.9985
BHAY0100801,33.859,22.2
AGR95021906,33.95233333,19.29566667
DOA96100102,33.879,22.29683333
AWA99031107,33.869,22.0225
VJK96041301,33.9775,20.31283333
VCH99080702,33.71,19.8855
AGR92110119,34.014,19.661
AGRY1013017,33.94016667,21.6075
SAS99080701,33.7235,19.8825
WIJ97110104,34.08333333,19.95416667
VJK98092602,33.972,20.849
LAW98092601,33.91533333,20.87366667
AGR98022405,34.014,19.58866667
DOA94090401,33.97166667,20.47616667
LYM97091901,33.884,22.3985
PNR98092505,33.92383333,20.8795
GHB98092507,33.93366667,20.85316667
GHB98092601,33.9175,20.86833333
LYM96110202,33.7195,19.87733333
