Obs,Latitude,Longitude
DJL99072105,-33.909,18.78666667
DJL99090303,-34.22666667,19.41233333
DJL99090304,-34.21583333,19.41983333
DJL99090305,-34.22383333,19.39416667
LYM99090303,-34.22383333,19.40866667
NGF99080805,-33.57033333,19.671
NGF99080806,-33.57033333,19.67866667
NGF99082202,-33.46666667,27
NGF99092417,-33.0555,19.09183333
LYM99092907,-34.01533333,19.75483333
SMR99092902,-34.01166667,19.7135
DJL99092906,-34.01033333,19.73933333
DOA99092401,-33.0585,19.085
DOA99102101,-33.569,19.135
AWA99100501,-32.87933333,19.22733333
AWA99100803,-32.6145,19.141
AWA99100804,-32.61883333,19.1425
DOA99102708,-33.65633333,21.5795
DOA99102912,-34.39066667,20.67416667
DOA99102901,-34.39466667,20.67466667
DOA99102902,-34.39766667,20.67516667
GED99112101,-34.00583333,18.35666667
LKA99091801,-34.05233333,18.3705
LKA99091804,-34.03783333,18.38866667
DOA99112302,-33.87516667,25.257
DOA99112320,-33.96933333,24.79033333
DOA99112323,-33.94766667,24.8005
DOA99112331,-33.84016667,24.936
DOA99112402,-33.95183333,25.55166667
DOA99112510,-33.33783333,26.1575
DOA99120705,-33.58866667,19.64083333
LYMY0021506,-33.40816667,22.76183333
SMR99120110,-33.86266667,18.908
NGFY0022013,-34.22716667,21.60933333
NGFY0030512,-33.7825,20.1055
LYMY0030111,-32.9135,19.11566667
SMRY0041202,-33.977,19.72116667
SMRY0041209,-33.9425,19.74733333
NGFY0070101,-34.25816667,18.45533333
NGFY0072004,-34.58333333,19.8955
NGFY0072010,-34.57616667,19.8335
DJLY0060209,-34.02883333,19.3795
SMRY0081613,-34.67883333,19.699
NGFY0082606,-33.74733333,19.84333333
NGFY0102618,-32.2065,19.08366667
DJLY0101908,-33.60266667,19.30916667
WMPY0111204,-33.00166667,19.3145
SMRY0111507,-32.49766667,18.66716667
DOAY0110903,-34.32033333,19.16183333
DOAY0110905,-34.31083333,19.165
DOAY0112508,-34.063,19.536
DOAY0112510,-34.05983333,19.54
DOAY0112518,-34.05633333,19.53166667
DOAY0112911,-34.0785,19.57633333
NGFY0120610,-34.034,18.32833333
DJLY0110208,-32.64183333,19.13116667
DJLY0110209,-32.64916667,19.151
DJLY0110211,-32.62616667,19.14033333
DOAY0120606,-34.0735,19.54666667
DOAY0121002,-34.10083333,19.41283333
DOAY0121003,-34.095,19.4205
DOAY0121005,-34.07616667,19.41283333
NGFY0122810,-33.62616667,24.74733333
DOAY1020617,-34.38866667,20.69416667
DOAY1020705,-34.37116667,20.65166667
SMRY1011706,-33.49683333,19.463
PMRY0121403,-33.736,22.84966667
PMRY0121410,-33.74233333,22.83383333
PMRY0121411,-33.7405,22.829
SHRY0122803,-33.84316667,24.91766667
NGFY1032709,-33.28466667,25.65316667
NGFY1032807,-33.31316667,25.586
NGFY1032809,-33.30716667,25.562
IEBY1090407,-34.22516667,19.32316667
NGFY1102502,-34.3545,18.8765
SMRY1102502,-34.3085,18.83083333
WMPY1111704,-32.785,19.13333333
DOAY2030701,-33.854,23.50983333
DJLY2050202,-33.5825,19.37583333
DJLY2050204,-33.5825,19.47533333
SMRY2082901,-34.27483333,19.16983333
SMRY2082904,-34.59933333,19.49666667
SMRY2090601,-34.27933333,19.23716667
SMRY2090602,-34.3005,19.4215
DOAY4020903,-34.346,21.49616667
DOAY4020904,-34.33083333,21.49566667
WMPY2103012,-33.863,21.79616667
WMPY2103015,-33.86983333,21.77216667
NAHY5110902,-34.50266667,19.91666667
PMR91120505,-33.72166667,24.22633333
AGR91092903,-33.68533333,18.707
AGR91101404,-34.2345,19.02633333
AGR91112403,-34.236,18.4065
CBE92050202,-34.35183333,18.8275
APE92060701,-34.337,18.828
APE92080219,-34.37933333,20.54533333
AGR92090901,-34.19683333,18.82433333
PAP92081801,-34.3075,18.8225
PAP92082711,-34.35666667,18.9715
ASP92092001,-34.237,19.008
ASP92092002,-34.23833333,19.00266667
ASP92092214,-34.23216667,18.97316667
ASP92092305,-34.247,19.05
ASP92092310,-34.24216667,19.11033333
ASP92092312,-34.22616667,19.09533333
AGR92092701,-34.23566667,19.031
APE92101703,-33.06133333,19.33116667
AGR92102504,-34.0725,18.4055
AGR92103109,-34.03333333,19.64466667
WIJ92103103,-34.00333333,18.35666667
APE93031410,-34.4235,19.45516667
AGR93081204,-34.04866667,19.93016667
AGR93081210,-34.04033333,19.92466667
SHR93081505,-32.97116667,19.04916667
AGR93100801,-33.45133333,21.00216667
SHR93102304,-34.03733333,19.45916667
JAM93092512,-33.54483333,19.12333333
SHR94052201,-34.1575,18.34583333
AGR94071009,-33.90583333,19.15716667
AGR93102004,-34.03883333,19.922
